id,hashtag,postCount,recentPostCount1h,recentPostCount6h,recentPostCount24h,trendScore,createdAt,updatedAt
11edfe2e-c8b2-4fc3-96b8-7558cd389319,fyyyppppp,2,0,0,0,0,2026-04-06 09:00:00.042804,2026-04-08 09:00:00.305
6feb5552-b8ba-4fc6-87ab-2b5fb76b0498,blowthisup,1,0,0,0,0,2026-04-06 09:00:00.04915,2026-04-08 09:00:00.308
274dd9eb-689e-4d34-88af-46c4c13d4a1a,outside,1,0,0,0,0,2026-04-06 08:00:00.094637,2026-04-22 13:30:00.372
fdd2a9ae-1235-43df-b36a-fcf27baf9218,available,2,0,0,0,0,2026-04-06 08:30:00.160188,2026-04-08 09:00:00.316
853c4ce9-a5cc-434f-a69d-6dabef4a551e,consistently,2,0,0,0,0,2026-04-06 16:30:00.193752,2026-04-08 09:00:00.318
1f984964-f287-4bbd-a2c3-1fd74ea90210,reality,1,0,0,0,0,2026-04-06 20:00:00.22309,2026-04-22 13:30:00.382
7404d0bb-d2e2-4674-88cf-edaa15092e42,georgekloset,1,0,0,0,0,2026-04-13 17:30:00.053318,2026-04-20 17:00:00.416
a919ca95-2edf-47f1-836b-b791b3f3e905,tagmisharp,1,0,0,0,0,2026-04-13 17:30:00.07573,2026-04-20 17:00:00.42
4be03913-e3d0-4a65-a887-598cfcb895ac,fucking,2,0,0,0,0,2026-04-06 18:30:00.013628,2026-04-08 09:00:00.321
874eb63d-be63-44d8-94ca-777e89984083,chatt,1,0,0,0,0,2026-04-06 18:30:00.028083,2026-04-08 09:00:00.323
f8521163-7de9-46df-af59-2b2be483bea6,tradesmarter,1,0,0,0,0,2026-04-18 19:00:00.113623,2026-04-25 18:30:00.33
ed789557-a111-42f3-b0af-01a2df034d3e,smartmoney,1,0,0,0,0,2026-04-12 18:30:00.08367,2026-05-02 15:00:00.774
502f64cf-1993-4694-93ca-18c46a72ae30,mufc,1,0,0,0,0,2026-04-15 14:30:00.293644,2026-04-22 14:00:00.298
be44b6d2-2345-45f8-8bcd-cdf92683b8d3,laff,1,0,0,0,0,2026-04-06 17:30:00.344622,2026-04-08 09:00:00.326
ca413de7-827d-4574-b6f1-0ba03d60b375,families,1,0,0,0,0,2026-04-06 08:00:00.041931,2026-04-08 09:00:00.328
b9e2aa1b-ffec-4602-bcf4-deacf9327a2e,month,1,0,0,0,0,2026-04-06 08:00:00.058643,2026-04-08 09:00:00.333
8a98ba6c-8b69-44ea-ba97-98eeeb0c55cd,happy,1,0,0,0,0,2026-04-06 08:00:00.065217,2026-04-08 09:00:00.337
b33ec9b8-ca8d-435e-bc81-1255a48bce11,amen,1,0,0,0,0,2026-04-06 10:30:00.095638,2026-04-08 06:00:00.48
