id,mentionedUserId,mentionedByUserId,contentId,commentId,createdAt
b9a94e26-7d27-4cef-b025-97afcf73a6f4,6c8d9754-768a-4a7b-989a-37ac479d5dc9,896aed2f-7231-4a0e-a669-a2c8e927b8ba,cd62b655-baa6-43e2-af4f-c95437ae031b,c41b0da6-bb38-4622-9b89-446f4f84d63d,2026-04-24 14:19:13.913314
e1927a6a-3d40-4cc2-ba04-1c7b73eb10a0,d119032a-606a-4bf2-b29d-92941c866494,243b9e41-d9ed-41df-a33f-b5f31bbe18ac,0f9d2e46-874f-497f-9912-808bbce2a786,08e030dd-1afe-4f8c-a69f-a6dc43fea23c,2026-04-25 12:05:48.612497
a54f1085-a726-4b89-a560-393251a72b84,914dcaa9-28e7-4c1d-810a-c026fb5bcbe2,d1ffb970-dc6c-4d1b-ac44-e14330e5feff,4fa83b28-090a-4d9c-bd46-341e9eaa4d5a,038657f8-b624-43ec-aa10-047bb08467ba,2026-04-25 14:25:54.329691
bffd4206-cc08-4e86-8fab-3aaa1280d9ad,a3ea9ad7-d98c-45a2-97e1-eb14fce56ff8,557757ef-b347-4376-a9be-03f64f75af9f,3a12e538-1b4a-4ac7-8477-eefd9454df8c,c8963138-93dc-4341-93de-dad09e0029bd,2026-04-29 07:50:45.170395
290bcb21-a129-42e6-a66d-69999f798514,668ef4af-b827-402c-be2f-7aae83db2d0a,5807c14c-e6f5-4a63-90d4-29b860bee566,ba259269-bc9a-4e34-bd8d-7ce1018422c6,e8f09968-3bb7-4807-9e81-d912af220d33,2026-04-29 21:26:20.589924
75eb5cf4-f975-4484-8408-eb6e7ac20dac,7f612b02-dfa0-438b-adf7-3443498e8a5e,668ef4af-b827-402c-be2f-7aae83db2d0a,414a113a-4048-47bb-be2e-61d448b6f73d,5cfbed13-0a68-4cad-a2db-7a5e17780152,2026-05-01 07:10:59.315268
b3c9e7a8-e99b-4b13-afdb-7d5d32e6a377,7f612b02-dfa0-438b-adf7-3443498e8a5e,668ef4af-b827-402c-be2f-7aae83db2d0a,3cee4265-55a2-4b99-a17c-904a82a9dfa1,d7edd2e0-a69c-41c9-ba08-c5d653857341,2026-05-01 07:12:28.564182
d4561aea-84c9-4a00-a14f-083866a5f192,7f612b02-dfa0-438b-adf7-3443498e8a5e,668ef4af-b827-402c-be2f-7aae83db2d0a,119cbfa5-f492-43fc-b662-609f48fbc005,81b0482c-69c7-4e75-a177-ce5ffc79fc6d,2026-05-02 01:04:12.229939
d064940b-6375-4f16-a1b0-cd84fbea97d9,0d7e219e-22a1-437f-8c32-8f104a8aadd2,668ef4af-b827-402c-be2f-7aae83db2d0a,119cbfa5-f492-43fc-b662-609f48fbc005,8dca23fa-a483-4834-9fc1-ba7d28074ef8,2026-05-03 04:54:32.019563
ee8cb15b-eea2-4469-aa6c-9743671f9cec,7f612b02-dfa0-438b-adf7-3443498e8a5e,5490df18-69dd-4fef-9f5c-230b026e47f4,73caae0f-6335-4c06-bd90-014df633ea8b,430ae4a7-39b2-4cfb-9de7-9e7a71d9a9c1,2026-05-03 15:18:42.697068
